,Item ID,Product Name
0,7303406,"UNFILTERED HORSE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
1,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
2,7330800,"FILTERED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
3,7313410,"FILTERED HORSE PLASMA (LI-HEPARIN, GENDER UNSPECIFIED)"
4,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
5,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
6,7330800,"FILTERED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
7,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
8,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
9,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
10,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
11,7730071,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
12,7730061,"UNFILTERED HORSE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
13,7303411,"UNFILTERED HORSE PLASMA (NA-HEPARIN, GENDER UNSPECIFIED)"
14,7303407,"UNFILTERED HORSE PLASMA (K2-EDTA, GENDER UNSPECIFIED)"
15,7303406,"UNFILTERED HORSE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
16,7330800,"FILTERED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
17,7310811,"FILTERED BOVINE PLASMA (NA-HEPARIN, GENDER UNSPECIFIED)"
18,7300811,"UNFILTERED BOVINE PLASMA (NA-HEPARIN, GENDER UNSPECIFIED)"
19,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
20,7330800,"FILTERED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
21,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
22,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
23,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
24,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
25,7330800-DL,"DELIPIDATED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
26,7304907,"UNFILTERED PORCINE PLASMA (K2-EDTA, GENDER UNSPECIFIED)"
27,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
28,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
29,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
30,7300806,"UNFILTERED BOVINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
31,7304910,"UNFILTERED PORCINE PLASMA (LI-HEPARIN, GENDER UNSPECIFIED)"
32,7304907,"UNFILTERED PORCINE PLASMA (K2-EDTA, GENDER UNSPECIFIED)"
33,7730071,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
34,7730061,"UNFILTERED HORSE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
35,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
36,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
37,7330800,"HEAT INACTIVATED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
38,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
39,7313410,"FILTERED HORSE PLASMA (LI-HEPARIN, GENDER UNSPECIFIED)"
40,7304907,"UNFILTERED PORCINE PLASMA (K2-EDTA, GENDER UNSPECIFIED)"
41,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
42,7304907,"UNFILTERED PORCINE PLASMA (K2-EDTA, GENDER UNSPECIFIED)"
43,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
44,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
45,7310806,"FILTERED BOVINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
46,7314906,"FILTERED PORCINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
47,7319006,"FILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
48,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
49,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
50,7330800,"FILTERED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
51,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
52,7339000,"FILTERED SHEEP SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
53,7300811,"UNFILTERED BOVINE PLASMA (NA-HEPARIN, GENDER UNSPECIFIED)"
54,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
55,7304908,"UNFILTERED PORCINE PLASMA (K3-EDTA, GENDER UNSPECIFIED)"
56,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
57,7310806,"FILTERED BOVINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
58,7314906,"FILTERED PORCINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
59,7319006,"FILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
60,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
61,7730061,"UNFILTERED HORSE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
62,7730071,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
63,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
64,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
65,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
66,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
67,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
68,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
69,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
70,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
71,7730061,"UNFILTERED HORSE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
72,7730071,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
73,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
74,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
75,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
76,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
77,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
78,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
79,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
80,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
81,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
82,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
83,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
84,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
85,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
86,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
87,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
88,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
89,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
90,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
91,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
92,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
93,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
94,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
95,7322100,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
96,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
97,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
98,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
99,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
100,7333400,"FILTERED HORSE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
101,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
102,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
103,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
104,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
105,7322100,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
106,7300806,"UNFILTERED BOVINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
107,7300806,"UNFILTERED BOVINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
108,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
109,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
110,7339000,"FILTERED SHEEP SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
111,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
112,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
113,7304911,"UNFILTERED PORCINE PLASMA (NA-HEPARIN, GENDER UNSPECIFIED)"
114,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
115,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
116,7304911,"UNFILTERED PORCINE PLASMA (NA-HEPARIN, GENDER UNSPECIFIED)"
117,7304911,"UNFILTERED PORCINE PLASMA (NA-HEPARIN, GENDER UNSPECIFIED)"
118,7304911,"UNFILTERED PORCINE PLASMA (NA-HEPARIN, GENDER UNSPECIFIED)"
119,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
120,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
121,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
122,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
123,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
124,7333400,"FILTERED HORSE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
125,7330800,"FILTERED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
126,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
127,7333400,"FILTERED HORSE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
128,7332500,"FILTERED GOAT SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
129,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
130,7322100,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
131,7309006,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
132,7304906,"UNFILTERED PORCINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
133,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
134,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
135,7330800-DL,"DELIPIDATED BOVINE SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
136,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
137,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
138,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
139,7339000,"FILTERED SHEEP SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
140,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
141,7313410,"FILTERED HORSE PLASMA (LI-HEPARIN, GENDER UNSPECIFIED)"
142,7730071,"UNFILTERED SHEEP PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
143,7730061,"UNFILTERED HORSE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
144,7310806,"FILTERED BOVINE PLASMA (NA-CITRATE, GENDER UNSPECIFIED)"
145,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
146,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
147,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
148,7730014,"UNFILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
149,7304907,"UNFILTERED PORCINE PLASMA (K2-EDTA, GENDER UNSPECIFIED)"
150,7332100,"FILTERED DONKEY SERUM (NO ANTICOAGULANT, GENDER UNSPECIFIED)"
