,Invoice Date,Volume (L),Quarter,Fiscal Year,Item ID,Product,Product Type,Species,Anticoagulant,Gender
4,2022-05-03,0.1,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
5,2022-05-03,0.1,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
11,2022-05-10,1.0,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
30,2022-05-26,0.1,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
33,2022-05-26,1.0,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
38,2022-06-01,1.0,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
39,2022-06-06,0.5,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
45,2022-06-08,1.0,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
53,2022-06-22,0.1,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
57,2022-06-27,0.1,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
69,2022-07-06,0.5,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
71,2022-07-11,0.1,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
80,2022-07-18,0.1,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
81,2022-07-19,0.2,2022Q1,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
85,2022-08-02,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
87,2022-08-03,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
