,Item ID,Month,Product,Product Type,Species,Anticoagulant,Gender,Forecast
1,7309006,2025-05-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.27089826839826847
2,7309006,2025-06-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.605572152847153
3,7309006,2025-07-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.9375962856587858
4,7309006,2025-08-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.5993670260295261
5,7309006,2025-09-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.6190446636696638
6,7309006,2025-10-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.6646354631479632
7,7309006,2025-11-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.4935638694638695
8,7309006,2025-12-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.6233083721833722
9,7309006,2026-01-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.705805520868021
10,7309006,2026-02-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.5060894647019648
11,7309006,2026-03-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.6137922827172829
12,7309006,2026-04-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,0.7070698065823067
13,7330800,2025-05-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.791518181818178
14,7330800,2025-06-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,6.15718201243201
15,7330800,2025-07-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.1139482184482175
16,7330800,2025-08-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.011631551781551
17,7330800,2025-09-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.800252908202906
18,7330800,2025-10-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.902569574869571
19,7330800,2025-11-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
20,7330800,2025-12-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
21,7330800,2026-01-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
22,7330800,2026-02-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
23,7330800,2026-03-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
24,7330800,2026-04-01,SERUM,FILTERED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
26,7332100,2025-05-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.689920274170274
27,7332100,2025-06-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,2.146836362248863
28,7332100,2025-07-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.7537681277056278
29,7332100,2025-08-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,0.7723962895764365
30,7332100,2025-09-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.8472268578643576
31,7332100,2025-10-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.381107936507936
32,7332100,2025-11-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.1468876482177948
33,7332100,2025-12-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.2795402056277054
34,7332100,2026-01-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.288618997424144
35,7332100,2026-02-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,0.8616667260843728
36,7332100,2026-03-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.2854963617265083
37,7332100,2026-04-01,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED,0.9661934021860489
62,7332500,2025-05-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,10.591276105006104
63,7332500,2025-06-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,25.260426509379503
64,7332500,2025-07-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,23.503314870351872
65,7332500,2025-08-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,17.206486837273836
66,7332500,2025-09-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,20.227643124986127
67,7332500,2025-10-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,18.1573092981463
68,7332500,2025-11-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,18.123323583860586
69,7332500,2025-12-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,18.39377812931513
70,7332500,2026-01-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,18.39377812931513
71,7332500,2026-02-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,18.39377812931513
72,7332500,2026-03-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,18.39377812931513
73,7332500,2026-04-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,18.39377812931513
111,7730071,2025-05-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.36579377788878
112,7730071,2025-06-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.267898271173273
113,7730071,2025-07-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.146183235098235
114,7730071,2025-08-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.12312300199801
115,7730071,2025-09-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.138602575757574
116,7730071,2025-10-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.056847564102565
117,7730071,2025-11-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.073334432789423
118,7730071,2025-12-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.13829084859584
119,7730071,2026-01-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.22378826562327
120,7730071,2026-02-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.18893760739261
121,7730071,2026-03-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.11401899267399
123,7730061,2025-05-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
124,7730061,2025-06-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
125,7730061,2025-07-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
126,7730061,2025-08-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
127,7730061,2025-09-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
128,7730061,2025-10-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
129,7730061,2025-11-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
130,7730061,2025-12-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
131,7730061,2026-01-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
