,Item ID,Fiscal Year,Number of Orders
0,7200103,2022,21
1,7200103,2023,37
2,7200103,2024,43
3,7200806,2022,111
4,7200806,2023,166
5,7200806,2024,204
6,7203701,2022,3
7,7203701,2023,7
8,7203703,2023,2
9,7203703,2024,1
10,7203706,2022,9
11,7203706,2023,58
12,7203706,2024,40
13,7203707,2022,34
14,7203707,2023,20
15,7203707,2024,21
16,7203708,2022,3
17,7203708,2024,1
18,7203710,2022,4
19,7203710,2023,4
20,7203710,2024,4
21,7203711,2022,2
22,7203711,2023,9
23,7203711,2024,6
24,7203714,2023,1
25,7203726,2023,2
26,7203727,2022,13
27,7203727,2023,12
28,7203727,2024,10
29,7203806,2022,1
30,7203807,2024,3
31,7203811,2023,1
32,7203906,2022,1
33,7203907,2024,3
34,7203911,2023,1
35,7209003,2022,114
36,7209003,2023,80
37,7209003,2024,90
38,7209006,2022,170
39,7209006,2023,228
40,7209006,2024,201
41,7210830,2022,132
42,7210830,2023,80
43,7210830,2024,131
44,7230801,2022,132
45,7230801,2023,81
46,7230801,2024,91
47,7239001,2022,948
48,7239001,2023,790
49,7239001,2024,776
50,7240807,2022,3
51,7240807,2023,2
52,7240807,2024,4
53,7240808,2022,45
54,7240808,2023,41
55,7240808,2024,32
56,7240809,2022,1
57,7240809,2023,2
58,7240809,2024,3
59,7241407,2022,13
60,7241407,2023,27
61,7241407,2024,41
62,7241408,2022,289
63,7241408,2023,274
64,7241408,2024,295
65,7241409,2022,106
66,7241409,2023,106
67,7241409,2024,121
68,7242507,2022,1
69,7242508,2022,1
70,7242807,2022,4
71,7242807,2023,2
72,7242807,2024,3
73,7242808,2022,4
74,7242808,2023,4
75,7242808,2024,8
76,7242809,2024,5
77,7243008,2023,1
78,7243008,2024,1
79,7243107,2022,1
80,7243108,2022,224
81,7243108,2023,2
82,7243109,2022,125
83,7243109,2023,3
84,7243407,2022,2
85,7243407,2023,3
86,7243407,2024,5
87,7243408,2022,4
88,7243408,2023,6
89,7243408,2024,103
90,7243409,2022,1
91,7243409,2023,1
92,7243409,2024,8
93,7243710,2022,52
94,7243710,2023,52
95,7243710,2024,48
96,7243720,2022,52
97,7243720,2023,6
98,7243720,2024,2
99,7243721,2022,54
100,7243721,2023,103
101,7243721,2024,116
102,7244907,2022,39
103,7244907,2023,5
104,7244907,2024,2
105,7244908,2022,14
106,7244908,2023,5
107,7244909,2022,1
108,7244909,2023,1
109,7246408,2022,6
110,7246409,2022,1
111,7248508,2022,55
112,7248508,2023,53
113,7248508,2024,52
114,7248807,2022,1
115,7248808,2022,1
116,7248809,2022,3
117,7248809,2023,2
118,7248809,2024,2
119,7249007,2022,13
120,7249007,2023,13
121,7249007,2024,22
122,7249008,2022,32
123,7249008,2023,26
124,7249008,2024,22
125,7249009,2022,3
126,7249009,2023,2
127,7249009,2024,3
128,7249407,2022,13
129,7249407,2023,2
130,7249408,2022,435
131,7249408,2023,89
132,7249408,2024,1
133,7249409,2022,276
134,7249409,2023,40
135,7249409,2024,1
136,7300806,2022,5
137,7300806,2023,2
138,7300806,2024,1
139,7300807,2023,2
140,7300807,2024,1
141,7300809,2023,1
142,7300810,2022,2
143,7300811,2022,2
144,7300811,2023,1
145,7300811,2024,2
146,7303406,2022,5
147,7303406,2023,4
148,7303406,2024,1
149,7303407,2022,1
150,7303407,2023,1
151,7303407,2024,1
152,7303408,2023,1
153,7303410,2023,1
154,7303410,2024,1
155,7303411,2022,1
156,7303706,2022,2
157,7303706,2023,3
158,7303706,2024,9
159,7303707,2022,2
160,7303707,2023,3
161,7303707,2024,1
162,7303708,2022,1
163,7303708,2023,4
164,7303708,2024,3
165,7303710,2023,1
166,7303711,2022,1
167,7303711,2023,1
168,7303806,2022,1
169,7303807,2022,1
170,7303807,2024,1
171,7303906,2023,1
172,7303907,2022,1
173,7304906,2022,3
174,7304906,2023,1
175,7304906,2024,2
176,7304907,2022,6
177,7304907,2024,4
178,7304908,2022,1
179,7304909,2023,1
180,7304910,2022,1
181,7304911,2022,4
182,7304911,2023,1
183,7309006,2022,37
184,7309006,2023,32
185,7309006,2024,32
186,7309107,2024,3
187,7310806,2022,7
188,7310806,2023,1
189,7310806,2024,14
190,7310809,2024,2
191,7310810,2024,1
192,7310811,2022,1
193,7313410,2022,4
194,7313410,2023,1
195,7313410,2024,1
196,7313411,2023,1
197,7314906,2022,2
198,7314906,2023,1
199,7314911,2022,1
200,7314911,2024,1
201,7319006,2022,2
202,7319006,2024,1
203,7319007,2024,1
204,7319010,2023,2
205,7319011,2024,1
206,7320800,2023,1
207,7320800,2024,5
208,7322100,2022,8
209,7322100,2023,7
210,7322100,2024,2
