,Item ID,Fiscal Year,Total Volume (L)
0,7200103,2022,25.0
1,7200103,2023,45.5
2,7200103,2024,32.5
3,7200806,2022,8.700000000000001
4,7200806,2023,12.65
5,7200806,2024,15.05
6,7203701,2022,8.1
7,7203701,2023,3.8000000000000003
8,7203703,2023,0.01
9,7203703,2024,0.02
10,7203706,2022,12.15
11,7203706,2023,44.325
12,7203706,2024,29.630000000000003
13,7203707,2022,7.375
14,7203707,2023,1.07
15,7203707,2024,0.3
16,7203708,2022,1.35
17,7203708,2024,0.9
18,7203710,2022,1.8
19,7203710,2023,0.922
20,7203710,2024,0.3
21,7203711,2022,0.05
22,7203711,2023,2.77
23,7203711,2024,3.18
24,7203714,2023,0.45
25,7203726,2023,1.8
26,7203727,2022,5.8500000000000005
27,7203727,2023,5.4
28,7203727,2024,4.5
29,7203806,2022,0.45
30,7203807,2024,0.8
31,7203811,2023,0.45
32,7203906,2022,0.45
33,7203907,2024,0.8500000000000001
34,7203911,2023,0.45
35,7209003,2022,10.100000000000001
36,7209003,2023,5.95
37,7209003,2024,7.0
38,7209006,2022,18.900000000000002
39,7209006,2023,19.45
40,7209006,2024,16.150000000000002
41,7210830,2022,535.0
42,7210830,2023,324.0
43,7210830,2024,524.0
44,7230801,2022,70.0
45,7230801,2023,32.3
46,7230801,2024,55.05
47,7239001,2022,239.3
48,7239001,2023,182.4
49,7239001,2024,149.70000000000002
50,7240807,2022,0.13
51,7240807,2023,0.03
52,7240807,2024,0.06
53,7240808,2022,1.38
54,7240808,2023,1.43
55,7240808,2024,1.015
56,7240809,2022,0.015
57,7240809,2023,0.045
58,7240809,2024,0.15000000000000002
59,7241407,2022,0.21
60,7241407,2023,0.315
61,7241407,2024,0.8099999999999999
62,7241408,2022,21.26
63,7241408,2023,18.555
64,7241408,2024,19.485
65,7241409,2022,10.445
66,7241409,2023,6.94
67,7241409,2024,7.005
68,7242507,2022,0.015
69,7242508,2022,0.015
70,7242807,2022,0.06
71,7242807,2023,0.03
72,7242807,2024,0.045
73,7242808,2022,0.06
74,7242808,2023,0.045
75,7242808,2024,0.12
76,7242809,2024,0.21000000000000002
77,7243008,2023,0.015
78,7243008,2024,0.015
79,7243107,2022,0.015
80,7243108,2022,22.75
81,7243108,2023,0.06
82,7243109,2022,14.085
83,7243109,2023,0.045
84,7243407,2022,0.065
85,7243407,2023,0.045
86,7243407,2024,0.14500000000000002
87,7243408,2022,0.105
88,7243408,2023,0.22
89,7243408,2024,4.34
90,7243409,2022,0.015
91,7243409,2023,0.015
92,7243409,2024,0.39
93,7243710,2022,8.700000000000001
94,7243710,2023,5.2
95,7243710,2024,4.800000000000001
96,7243720,2022,2.6
97,7243720,2023,0.25
98,7243720,2024,0.11
99,7243721,2022,2.7
100,7243721,2023,5.15
101,7243721,2024,6.140000000000001
102,7244907,2022,0.585
103,7244907,2023,0.075
104,7244907,2024,0.045
105,7244908,2022,0.805
106,7244908,2023,0.245
107,7244909,2022,0.015
108,7244909,2023,0.015
109,7246408,2022,0.09
110,7246409,2022,0.015
111,7248508,2022,10.600000000000001
112,7248508,2023,10.600000000000001
113,7248508,2024,10.200000000000001
114,7248807,2022,0.015
115,7248808,2022,0.015
116,7248809,2022,0.06
117,7248809,2023,0.03
118,7248809,2024,0.045
119,7249007,2022,40.074999999999996
120,7249007,2023,22.135
121,7249007,2024,55.165
122,7249008,2022,3.33
123,7249008,2023,2.88
124,7249008,2024,1.5350000000000001
125,7249009,2022,0.075
126,7249009,2023,0.045
127,7249009,2024,0.075
128,7249407,2022,0.265
129,7249407,2023,0.065
130,7249408,2022,31.86
131,7249408,2023,5.235
132,7249408,2024,0.03
133,7249409,2022,16.955000000000002
134,7249409,2023,2.145
135,7249409,2024,0.1
136,7300806,2022,29.9
137,7300806,2023,7.0
138,7300806,2024,1.0
139,7300807,2023,0.52
140,7300807,2024,0.5
141,7300809,2023,1.0
142,7300810,2022,0.05
143,7300811,2022,3.0
144,7300811,2023,1.0
145,7300811,2024,13.0
146,7303406,2022,11.55
147,7303406,2023,6.3
148,7303406,2024,1.0
149,7303407,2022,0.1
150,7303407,2023,0.1
151,7303407,2024,0.1
152,7303408,2023,0.5
153,7303410,2023,0.5
154,7303410,2024,0.1
155,7303411,2022,0.1
156,7303706,2022,0.9
157,7303706,2023,0.09
158,7303706,2024,1.51
159,7303707,2022,11.8
160,7303707,2023,3.225
161,7303707,2024,2.25
162,7303708,2022,1.8
163,7303708,2023,6.4
164,7303708,2024,2.2
165,7303710,2023,0.45
166,7303711,2022,0.45
167,7303711,2023,0.45
168,7303806,2022,0.45
169,7303807,2022,1.8
170,7303807,2024,0.15
171,7303906,2023,4.0
172,7303907,2022,1.8
173,7304906,2022,0.30000000000000004
174,7304906,2023,0.05
175,7304906,2024,0.0
176,7304907,2022,0.35000000000000003
177,7304907,2024,0.8
178,7304908,2022,1.0
179,7304909,2023,0.05
180,7304910,2022,0.05
181,7304911,2022,1.2
182,7304911,2023,0.05
183,7309006,2022,13.95
184,7309006,2023,4.9750000000000005
185,7309006,2024,5.7
186,7309107,2024,1.9000000000000001
187,7310806,2022,29.400000000000002
188,7310806,2023,0.1
189,7310806,2024,141.05
190,7310809,2024,0.2
191,7310810,2024,0.1
192,7310811,2022,1.0
193,7313410,2022,0.5
194,7313410,2023,0.05
195,7313410,2024,0.1
196,7313411,2023,1.0
197,7314906,2022,0.2
198,7314906,2023,0.3
199,7314911,2022,0.5
200,7314911,2024,0.05
201,7319006,2022,0.1
202,7319006,2024,0.1
203,7319007,2024,0.05
204,7319010,2023,1.0
205,7319011,2024,0.05
206,7320800,2023,1.0
207,7320800,2024,32.0
208,7322100,2022,2.8
209,7322100,2023,2.9
210,7322100,2024,5.015
211,7322500,2022,0.5
212,7322500,2023,0.1
213,7323400,2022,0.7
214,7329000,2024,0.05
215,7330800,2022,53.55
216,7330800,2023,49.0
217,7330800,2024,35.9
218,7330800-DL,2022,50.2
219,7330800-DL,2023,12.0
220,7330800-DL,2024,58.1
221,7332100,2022,23.0
222,7332100,2023,20.1
223,7332100,2024,17.5
224,7332500,2022,203.1
225,7332500,2023,162.401
226,7332500,2024,104.1
227,7332500-DL/,2024,0.9
228,7333400,2022,151.15
229,7333400,2023,151.35
230,7333400,2024,2.5
231,7333600,2022,1.0
